2021/02/04 13:49:38| Created PID file (/var/run/squid.pid)
2021/02/04 13:49:38 kid1| ERROR: cannot change current directory to /var/cache/squid: (2) No such file or directory
2021/02/04 13:49:38 kid1| Current Directory is /
2021/02/04 13:49:38 kid1| Starting Squid Cache version 4.4 for x86_64-redhat-linux-gnu...
2021/02/04 13:49:38 kid1| Service Name: squid
2021/02/04 13:49:38 kid1| Process ID 14
2021/02/04 13:49:38 kid1| Process Roles: worker
2021/02/04 13:49:38 kid1| With 1048576 file descriptors available
2021/02/04 13:49:38 kid1| Initializing IP Cache...
2021/02/04 13:49:38 kid1| DNS Socket created at [::], FD 5
2021/02/04 13:49:38 kid1| DNS Socket created at 0.0.0.0, FD 9
2021/02/04 13:49:38 kid1| Adding domain do.nagaoka-ct.ac.jp from /etc/resolv.conf
2021/02/04 13:49:38 kid1| Adding nameserver 172.16.0.1 from /etc/resolv.conf
2021/02/04 13:49:38 kid1| helperOpenServers: Starting 5/32 'security_file_certgen' processes
2021/02/04 13:49:38 kid1| Logfile: opening log /var/log/squid/access.log
2021/02/04 13:49:38 kid1| WARNING: log name now starts with a module name. Use 'stdio:/var/log/squid/access.log'
2021/02/04 13:49:38 kid1| Local cache digest enabled; rebuild/rewrite every 3600/3600 sec
2021/02/04 13:49:38 kid1| Store logging disabled
2021/02/04 13:49:38 kid1| Swap maxSize 0 + 262144 KB, estimated 20164 objects
2021/02/04 13:49:38 kid1| Target number of buckets: 1008
2021/02/04 13:49:38 kid1| Using 8192 Store buckets
2021/02/04 13:49:38 kid1| Max Mem  size: 262144 KB
2021/02/04 13:49:38 kid1| Max Swap size: 0 KB
2021/02/04 13:49:38 kid1| Using Least Load store dir selection
2021/02/04 13:49:38 kid1| ERROR: cannot change current directory to /var/cache/squid: (2) No such file or directory
2021/02/04 13:49:38 kid1| Current Directory is /
2021/02/04 13:49:38 kid1| Finished loading MIME types and icons.
2021/02/04 13:49:38 kid1| HTCP Disabled.
2021/02/04 13:49:38 kid1| Configuring Parent 172.16.0.1/8080/0
2021/02/04 13:49:38 kid1| Configuring Parent 0.0.0.0/8888/0
2021/02/04 13:49:38 kid1| Squid plugin modules loaded: 0
2021/02/04 13:49:38 kid1| Adaptation support is off.
2021/02/04 13:49:38 kid1| Accepting NAT intercepted HTTP Socket connections at local=[::]:6080 remote=[::] FD 21 flags=41
2021/02/04 13:49:38 kid1| Accepting NAT intercepted SSL bumped HTTPS Socket connections at local=[::]:6443 remote=[::] FD 22 flags=41
2021/02/04 13:49:38 kid1| Accepting HTTP Socket connections at local=[::]:3354 remote=[::] FD 23 flags=9
2021/02/04 13:49:39 kid1| storeLateRelease: released 0 objects
2021/02/04 13:49:54| Created PID file (/var/run/squid.pid)
2021/02/04 13:49:54 kid1| ERROR: cannot change current directory to /var/cache/squid: (2) No such file or directory
2021/02/04 13:49:54 kid1| Current Directory is /
2021/02/04 13:49:54 kid1| Starting Squid Cache version 4.4 for x86_64-redhat-linux-gnu...
2021/02/04 13:49:54 kid1| Service Name: squid
2021/02/04 13:49:54 kid1| Process ID 15
2021/02/04 13:49:54 kid1| Process Roles: worker
2021/02/04 13:49:54 kid1| With 1048576 file descriptors available
2021/02/04 13:49:54 kid1| Initializing IP Cache...
2021/02/04 13:49:54 kid1| DNS Socket created at [::], FD 5
2021/02/04 13:49:54 kid1| DNS Socket created at 0.0.0.0, FD 9
2021/02/04 13:49:54 kid1| Adding domain do.nagaoka-ct.ac.jp from /etc/resolv.conf
2021/02/04 13:49:54 kid1| Adding nameserver 172.16.0.1 from /etc/resolv.conf
2021/02/04 13:49:54 kid1| helperOpenServers: Starting 5/32 'security_file_certgen' processes
2021/02/04 13:49:54 kid1| Logfile: opening log /var/log/squid/access.log
2021/02/04 13:49:54 kid1| WARNING: log name now starts with a module name. Use 'stdio:/var/log/squid/access.log'
2021/02/04 13:49:54 kid1| Local cache digest enabled; rebuild/rewrite every 3600/3600 sec
2021/02/04 13:49:54 kid1| Store logging disabled
2021/02/04 13:49:54 kid1| Swap maxSize 0 + 262144 KB, estimated 20164 objects
2021/02/04 13:49:54 kid1| Target number of buckets: 1008
2021/02/04 13:49:54 kid1| Using 8192 Store buckets
2021/02/04 13:49:54 kid1| Max Mem  size: 262144 KB
2021/02/04 13:49:54 kid1| Max Swap size: 0 KB
2021/02/04 13:49:54 kid1| Using Least Load store dir selection
2021/02/04 13:49:54 kid1| ERROR: cannot change current directory to /var/cache/squid: (2) No such file or directory
2021/02/04 13:49:54 kid1| Current Directory is /
2021/02/04 13:49:54 kid1| Finished loading MIME types and icons.
2021/02/04 13:49:54 kid1| HTCP Disabled.
2021/02/04 13:49:54 kid1| Configuring Parent 172.16.0.1/8080/0
2021/02/04 13:49:54 kid1| Configuring Parent 0.0.0.0/8888/0
2021/02/04 13:49:54 kid1| Squid plugin modules loaded: 0
2021/02/04 13:49:54 kid1| Adaptation support is off.
2021/02/04 13:49:54 kid1| Accepting NAT intercepted HTTP Socket connections at local=[::]:6080 remote=[::] FD 21 flags=41
2021/02/04 13:49:54 kid1| Accepting NAT intercepted SSL bumped HTTPS Socket connections at local=[::]:6443 remote=[::] FD 22 flags=41
2021/02/04 13:49:54 kid1| Accepting HTTP Socket connections at local=[::]:3354 remote=[::] FD 23 flags=9
2021/02/04 13:49:55 kid1| storeLateRelease: released 0 objects
2021/02/04 13:52:02 kid1| SECURITY ALERT: Host header forgery detected on local=172.217.175.234:443 remote=10.42.0.35:36652 FD 27 flags=33 (local IP does not match any domain IP)
2021/02/04 13:52:02 kid1| SECURITY ALERT: on URL: userlocation.googleapis.com:443
2021/02/04 22:53:05| Created PID file (/var/run/squid.pid)
2021/02/04 22:53:05 kid1| ERROR: cannot change current directory to /var/cache/squid: (2) No such file or directory
2021/02/04 22:53:05 kid1| Current Directory is /
2021/02/04 22:53:05 kid1| Starting Squid Cache version 4.4 for x86_64-redhat-linux-gnu...
2021/02/04 22:53:05 kid1| Service Name: squid
2021/02/04 22:53:05 kid1| Process ID 15
2021/02/04 22:53:05 kid1| Process Roles: worker
2021/02/04 22:53:05 kid1| With 1048576 file descriptors available
2021/02/04 22:53:05 kid1| Initializing IP Cache...
2021/02/04 22:53:05 kid1| DNS Socket created at [::], FD 5
2021/02/04 22:53:05 kid1| DNS Socket created at 0.0.0.0, FD 9
2021/02/04 22:53:05 kid1| Adding domain do.nagaoka-ct.ac.jp from /etc/resolv.conf
2021/02/04 22:53:05 kid1| Adding nameserver 172.16.0.1 from /etc/resolv.conf
2021/02/04 22:53:05 kid1| helperOpenServers: Starting 5/32 'security_file_certgen' processes
2021/02/04 22:53:05 kid1| Logfile: opening log /var/log/squid/access.log
2021/02/04 22:53:05 kid1| WARNING: log name now starts with a module name. Use 'stdio:/var/log/squid/access.log'
2021/02/04 22:53:05 kid1| Local cache digest enabled; rebuild/rewrite every 3600/3600 sec
2021/02/04 22:53:05 kid1| Store logging disabled
2021/02/04 22:53:05 kid1| Swap maxSize 0 + 262144 KB, estimated 20164 objects
2021/02/04 22:53:05 kid1| Target number of buckets: 1008
2021/02/04 22:53:05 kid1| Using 8192 Store buckets
2021/02/04 22:53:05 kid1| Max Mem  size: 262144 KB
2021/02/04 22:53:05 kid1| Max Swap size: 0 KB
2021/02/04 22:53:05 kid1| Using Least Load store dir selection
2021/02/04 22:53:05 kid1| ERROR: cannot change current directory to /var/cache/squid: (2) No such file or directory
2021/02/04 22:53:05 kid1| Current Directory is /
2021/02/04 22:53:05 kid1| Finished loading MIME types and icons.
2021/02/04 22:53:05 kid1| HTCP Disabled.
2021/02/04 22:53:05 kid1| Configuring Parent 172.16.0.1/8080/0
2021/02/04 22:53:05 kid1| Configuring Parent 0.0.0.0/8888/0
2021/02/04 22:53:05 kid1| Squid plugin modules loaded: 0
2021/02/04 22:53:05 kid1| Adaptation support is off.
2021/02/04 22:53:05 kid1| Accepting NAT intercepted HTTP Socket connections at local=[::]:6080 remote=[::] FD 21 flags=41
2021/02/04 22:53:05 kid1| Accepting NAT intercepted SSL bumped HTTPS Socket connections at local=[::]:6443 remote=[::] FD 22 flags=41
2021/02/04 22:53:05 kid1| Accepting HTTP Socket connections at local=[::]:3354 remote=[::] FD 23 flags=9
2021/02/04 22:53:06 kid1| storeLateRelease: released 0 objects
2021/02/04 23:42:14 kid1| SECURITY ALERT: Host header forgery detected on local=172.217.175.42:443 remote=10.42.0.30:55282 FD 37 flags=33 (local IP does not match any domain IP)
2021/02/04 23:42:14 kid1| SECURITY ALERT: on URL: userlocation.googleapis.com:443
2021/02/04 23:44:02 kid1| SECURITY ALERT: Host header forgery detected on local=52.114.32.7:443 remote=10.42.0.30:38051 FD 100 flags=33 (local IP does not match any domain IP)
2021/02/04 23:44:02 kid1| SECURITY ALERT: on URL: ic3.events.data.microsoft.com:443
2021/02/04 23:50:32 kid1| SECURITY ALERT: Host header forgery detected on local=40.78.128.150:443 remote=10.42.0.30:53997 FD 39 flags=33 (local IP does not match any domain IP)
2021/02/04 23:50:32 kid1| SECURITY ALERT: on URL: ic3.events.data.microsoft.com:443
2021/02/04 23:53:20 kid1| SECURITY ALERT: Host header forgery detected on local=172.217.25.74:443 remote=10.42.0.30:55356 FD 11 flags=33 (local IP does not match any domain IP)
2021/02/04 23:53:20 kid1| SECURITY ALERT: on URL: userlocation.googleapis.com:443
2021/02/05 00:04:08 kid1| SECURITY ALERT: Host header forgery detected on local=52.114.16.76:443 remote=10.42.0.30:33977 FD 19 flags=33 (local IP does not match any domain IP)
2021/02/05 00:04:08 kid1| SECURITY ALERT: on URL: go.trouter.teams.microsoft.com:443
2021/02/05 00:05:06 kid1| SECURITY ALERT: Host header forgery detected on local=52.114.159.112:443 remote=10.42.0.30:60709 FD 25 flags=33 (local IP does not match any domain IP)
2021/02/05 00:05:06 kid1| SECURITY ALERT: on URL: ic3.events.data.microsoft.com:443
2021/02/05 00:10:08 kid1| SECURITY ALERT: Host header forgery detected on local=40.122.160.14:443 remote=10.42.0.30:40147 FD 54 flags=33 (local IP does not match any domain IP)
2021/02/05 00:10:08 kid1| SECURITY ALERT: on URL: ic3.events.data.microsoft.com:443
2021/02/05 00:13:12 kid1| SECURITY ALERT: Host header forgery detected on local=52.114.133.60:443 remote=10.42.0.30:39289 FD 15 flags=33 (local IP does not match any domain IP)
2021/02/05 00:13:12 kid1| SECURITY ALERT: on URL: ic3.events.data.microsoft.com:443
2021/02/05 00:16:02 kid1| SECURITY ALERT: Host header forgery detected on local=40.78.128.150:443 remote=10.42.0.30:36605 FD 33 flags=33 (local IP does not match any domain IP)
2021/02/05 00:16:02 kid1| SECURITY ALERT: on URL: ic3.events.data.microsoft.com:443
2021/02/05 00:18:04 kid1| SECURITY ALERT: Host header forgery detected on local=52.114.75.78:443 remote=10.42.0.30:36217 FD 15 flags=33 (local IP does not match any domain IP)
2021/02/05 00:18:04 kid1| SECURITY ALERT: on URL: ic3.events.data.microsoft.com:443
2021/02/05 00:22:15 kid1| SECURITY ALERT: Host header forgery detected on local=52.114.128.70:443 remote=10.42.0.30:42413 FD 67 flags=33 (local IP does not match any domain IP)
2021/02/05 00:22:15 kid1| SECURITY ALERT: on URL: ic3.events.data.microsoft.com:443
2021/02/05 00:29:30 kid1| SECURITY ALERT: Host header forgery detected on local=52.114.159.112:443 remote=10.42.0.30:55939 FD 29 flags=33 (local IP does not match any domain IP)
2021/02/05 00:29:30 kid1| SECURITY ALERT: on URL: ic3.events.data.microsoft.com:443
2021/02/05 00:45:26 kid1| SECURITY ALERT: Host header forgery detected on local=52.114.128.70:443 remote=10.42.0.30:43173 FD 29 flags=33 (local IP does not match any domain IP)
2021/02/05 00:45:26 kid1| SECURITY ALERT: on URL: ic3.events.data.microsoft.com:443
2021/02/05 00:53:29 kid1| SECURITY ALERT: Host header forgery detected on local=172.217.175.74:443 remote=10.42.0.30:60772 FD 31 flags=33 (local IP does not match any domain IP)
2021/02/05 00:53:29 kid1| SECURITY ALERT: on URL: userlocation.googleapis.com:443
2021/02/05 01:01:26 kid1| SECURITY ALERT: Host header forgery detected on local=40.77.18.167:443 remote=10.42.0.30:53729 FD 25 flags=33 (local IP does not match any domain IP)
2021/02/05 01:01:26 kid1| SECURITY ALERT: on URL: ic3.events.data.microsoft.com:443
2021/02/05 01:12:14 kid1| SECURITY ALERT: Host header forgery detected on local=52.114.76.35:443 remote=10.42.0.30:39149 FD 25 flags=33 (local IP does not match any domain IP)
2021/02/05 01:12:14 kid1| SECURITY ALERT: on URL: ic3.events.data.microsoft.com:443
2021/02/05 02:09:54 kid1| SECURITY ALERT: Host header forgery detected on local=172.217.31.170:443 remote=10.42.0.30:35392 FD 32 flags=33 (local IP does not match any domain IP)
2021/02/05 02:09:54 kid1| SECURITY ALERT: on URL: userlocation.googleapis.com:443
2021/02/05 04:07:18 kid1| SECURITY ALERT: Host header forgery detected on local=172.217.161.74:443 remote=10.42.0.30:47462 FD 29 flags=33 (local IP does not match any domain IP)
2021/02/05 04:07:18 kid1| SECURITY ALERT: on URL: userlocation.googleapis.com:443
2021/02/05 07:22:18 kid1| SECURITY ALERT: Host header forgery detected on local=104.244.42.66:443 remote=10.42.0.30:44058 FD 69 flags=33 (local IP does not match any domain IP)
2021/02/05 07:22:18 kid1| SECURITY ALERT: on URL: api.twitter.com:443
